Phenotype Name,Code Type,Code Description,Code
Angina,Read2,[X]Other forms of angina pectoris,Gyu3000
Angina,Read2,Allograft bypass of coronary artery,7922.11
Angina,Read2,Allograft replacement of coronary artery,7922
Angina,Read2,Allograft replacement of coronary artery NOS,7922z00
Angina,Read2,Allograft replacement of four or more coronary arteries,7922300
Angina,Read2,Allograft replacement of one coronary artery,7922000
Angina,Read2,Allograft replacement of three coronary arteries,7922200
Angina,Read2,Allograft replacement of two coronary arteries,7922100
Angina,Read2,Angina control,662K.00
Angina,Read2,Angina control - good,662K000
Angina,Read2,Angina control - improving,662K200
Angina,Read2,Angina control - poor,662K100
Angina,Read2,Angina control NOS,662Kz00
Angina,Read2,Angina decubitus,G330.00
Angina,Read2,Angina decubitus NOS,G330z00
Angina,Read2,Angina on effort,G33z300
Angina,Read2,Angina pectoris,G33..00
Angina,Read2,Angina pectoris NOS,G33z.00
Angina,Read2,Angina pectoris NOS,G33zz00
Angina,Read2,Antianginal therapy,8B27.00
Angina,Read2,Autograft replacement of four of more coronary arteries NEC,7921300
Angina,Read2,Autograft replacement of one coronary artery NEC,7921000
Angina,Read2,Autograft replacement of three coronary arteries NEC,7921200
Angina,Read2,Autograft replacement of two coronary arteries NEC,7921100
Angina,Read2,Chronic coronary insufficiency,G34y000
Angina,Read2,Connection of mammary artery to coronary artery,7925
Angina,Read2,Connection of mammary artery to coronary artery NOS,7925z00
Angina,Read2,Connection of mammary artery to coronary artery OS,7925y00
Angina,Read2,Connection of other thoracic artery to coronary artery,7926
Angina,Read2,Connection of other thoracic artery to coronary artery NOS,7926z00
Angina,Read2,Coronary arteriograph.abnormal,5543
Angina,Read2,Coronary artery bypass graft occlusion,SP07600
Angina,Read2,Coronary artery bypass graft operations,792..11
Angina,Read2,Creation of bypass from mammary artery to coronary artery,7925.11
Angina,Read2,Double anastom thoracic arteries to coronary arteries NEC,7926000
Angina,Read2,Double anastomosis of mammary arteries to coronary arteries,7925000
Angina,Read2,Double implant of mammary arteries into coronary arteries,7925100
Angina,Read2,ECG: myocardial ischaemia,322..00
Angina,Read2,ECG: myocardial ischaemia NOS,322Z.00
Angina,Read2,ECG: S-T depression,32E4.00
Angina,Read2,ECG: T wave abnormal,32F2.00
Angina,Read2,ECG: T wave flattened,32F3.00
Angina,Read2,ECG: T wave inverted,32F4.00
Angina,Read2,ECG:shows myocardial ischaemia,3222
Angina,Read2,Endarterectomy of coronary artery NEC,792B000
Angina,Read2,Exercise ECG abnormal,3213100
Angina,Read2,Exercise tolerance test abnormal,33B9500
Angina,Read2,H/O: Angina in last year,14AJ.00
Angina,Read2,H/O: angina pectoris,14A5.00
Angina,Read2,Insertion of coronary artery stent,7929400
Angina,Read2,Insertion of drug-eluting coronary artery stent,7929500
Angina,Read2,Ischaemic chest pain,G33z400
Angina,Read2,LIMA single anastomosis,7925311
Angina,Read2,Mechanical complication of coronary bypass,SP00300
Angina,Read2,New onset angina,G33z600
Angina,Read2,Nocturnal angina,G330000
Angina,Read2,Open angioplasty of coronary artery,7927500
Angina,Read2,OS perc translumina balloon angioplast stenting coronary art,793Gy00
Angina,Read2,Other autograft bypass of coronary artery,7921.11
Angina,Read2,Other autograft replacement of coronary artery,7921
Angina,Read2,Other autograft replacement of coronary artery NOS,7921z00
Angina,Read2,Other autograft replacement of coronary artery OS,7921y00
Angina,Read2,Other bypass of coronary artery,792D.00
Angina,Read2,Other bypass of coronary artery NOS,792Dz00
Angina,Read2,Other replacement of coronary artery,792C.00
Angina,Read2,Other specified allograft replacement of coronary artery,7922y00
Angina,Read2,Other specified other bypass of coronary artery,792Dy00
Angina,Read2,Other specified replacement of coronary artery,792Cy00
Angina,Read2,Perc tran ball angio ins 3 or more drug elut stents cor art,793G100
Angina,Read2,Perc translum ball angio insert 1-2 drug elut stents cor art,793G000
Angina,Read2,Perc translum balloon angioplasty insert 1-2 stents cor art,793G200
Angina,Read2,Perc translum balloon angioplasty stenting coronary art NOS,793Gz00
Angina,Read2,Perc translumin balloon angioplasty stenting coronary artery,793G.00
Angina,Read2,Percut translum balloon angioplasty bypass graft coronary a,7928200
Angina,Read2,Percut translum balloon angioplasty mult coronary arteries,7928100
Angina,Read2,Percut translum cutting balloon angioplasty coronary artery,7928300
Angina,Read2,Percut transluminal balloon angioplasty one coronary artery,7928000
Angina,Read2,Percutaneous balloon coronary angioplasty,7928.11
Angina,Read2,Percutaneous cor balloon angiop 3 more stents cor art NEC,793G300
Angina,Read2,Percutaneous transluminal angioplasty of artery NEC,7A54000
Angina,Read2,Percutaneous transluminal angioplasty of vascular graft,7A6H400
Angina,Read2,Percutaneous transluminal atherectomy,7A54800
Angina,Read2,Percutaneous transluminal atherectomy of coronary artery,7929600
Angina,Read2,Percutaneous transluminal balloon angioplasty of artery,7A56400
Angina,Read2,Percutaneous transluminal laser coronary angioplasty,7929000
Angina,Read2,Peroperative angioplasty,7A6G100
Angina,Read2,Positive exercise ECG test,3213111
Angina,Read2,Post infarct angina,G33z500
Angina,Read2,Prosthetic bypass of coronary artery,7923.11
Angina,Read2,Prosthetic graft patch angioplasty,7A6H300
Angina,Read2,Prosthetic replacement of coronary artery,7923
Angina,Read2,Prosthetic replacement of coronary artery NOS,7923z00
Angina,Read2,Prosthetic replacement of four or more coronary arteries,7923300
Angina,Read2,Prosthetic replacement of one coronary artery,7923000
Angina,Read2,Prosthetic replacement of three coronary arteries,7923200
Angina,Read2,Prosthetic replacement of two coronary arteries,7923100
Angina,Read2,Radionuclide heart study abnormal,5C11.00
Angina,Read2,Replacement of coronary arteries using multiple methods,792C000
Angina,Read2,Replacement of coronary artery NOS,792Cz00
Angina,Read2,RIMA single anastomosis,7925312
Angina,Read2,Rotary blade angioplasty,7A54500
Angina,Read2,Rotary blade coronary angioplasty,7929300
Angina,Read2,Saphenous vein graft bypass of coronary artery,7920.11
Angina,Read2,Saphenous vein graft replacement coronary artery NOS,7920z00
Angina,Read2,Saphenous vein graft replacement of coronary artery,7920
Angina,Read2,Saphenous vein graft replacement of coronary artery OS,7920y00
Angina,Read2,Saphenous vein graft replacement of four+ coronary arteries,7920300
Angina,Read2,Saphenous vein graft replacement of one coronary artery,7920000
Angina,Read2,Saphenous vein graft replacement of three coronary arteries,7920200
Angina,Read2,Saphenous vein graft replacement of two coronary arteries,7920100
Angina,Read2,Single anastomosis of mammary artery to coronary artery NEC,7925300
Angina,Read2,Single anastomosis of thoracic artery to coronary artery NEC,7926200
Angina,Read2,Single implantation of mammary artery into coronary artery,7925400
Angina,Read2,Single implantation thoracic artery into coronary artery NEC,7926300
Angina,Read2,Stable angina,G33z700
Angina,Read2,Stenocardia,G33z100
Angina,Read2,Syncope anginosa,G33z200
